image_id,topic,v1_data_topic,source_id,source_title,publisher,source_url,image_url,local_path,relative_image_path,served_url,alt,caption,near_heading,content_type,content_hash,score,retrieved_at
image:1d30e2b68f07c8e5,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-html,Support and Services,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services.html,https://www.mndnsw.org.au/media/yootheme/cache/fb/supportandservicescarersupport-fb29f95a.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Support and Services-1d30e2b68f.jpg,images/assets/02_australian_support_services/MND NSW/Support and Services-1d30e2b68f.jpg,/mnd-data/images/assets/02_australian_support_services/MND NSW/Support and Services-1d30e2b68f.jpg,,,Read more,image/jpeg,1d30e2b68f07c8e5041db91dfdd2d8d1d4d68e4ba4cc4165cea3aefb08d49f4c,12,2026-08-31
image:833cb5b9bcca5228,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-html,Support and Services,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services.html,https://www.mndnsw.org.au/media/yootheme/cache/1d/supportandservicescarersupport-1d4a0dbb.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Support and Services-833cb5b9bc.webp,images/assets/02_australian_support_services/MND NSW/Support and Services-833cb5b9bc.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Support and Services-833cb5b9bc.webp,,,Read more,image/webp,833cb5b9bcca5228c559da0ef941fdf2b3c15c0d927414734ca86618735f757e,12,2026-08-31
image:c2bd1ab6abe1914c,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-html,Support and Services,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services.html,https://www.mndnsw.org.au/media/yootheme/cache/ed/supportandservicescarersupport-ed4aaeaa.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Support and Services-c2bd1ab6ab.webp,images/assets/02_australian_support_services/MND NSW/Support and Services-c2bd1ab6ab.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Support and Services-c2bd1ab6ab.webp,,,Read more,image/webp,c2bd1ab6abe1914c1a17d257cbc686d879e2ee49416ed878658f968235af3bd1,12,2026-08-31
image:271a97ad7280100e,support_services,02_australian_support_services,mnd-nsw:what-we-do-education-html,Education,MND NSW,https://www.mndnsw.org.au/what-we-do/education.html,https://www.mndnsw.org.au/images/support_services/educationnewlydiagnosed.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Education-271a97ad72.jpg,images/assets/02_australian_support_services/MND NSW/Education-271a97ad72.jpg,/mnd-data/images/assets/02_australian_support_services/MND NSW/Education-271a97ad72.jpg,,,"We offer education and information sessions about MND for people living with MND, their carers and the MND workforce.",image/jpeg,271a97ad7280100ea199a8d0cf8a373eb4f1390200c84911a0ff283fdf298fce,12,2026-08-31
image:cf6ae2d624155877,support_services,02_australian_support_services,carer-gateway:home,Homepage | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au,https://www.carergateway.gov.au/sites/default/files/styles/large/public/images/2024-10/1496-2410-029-cg-website-images.jpg?itok=56Iem1j-,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Homepage Carer Gateway-cf6ae2d624.jpg,images/assets/02_australian_support_services/Carer Gateway/Homepage Carer Gateway-cf6ae2d624.jpg,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Homepage Carer Gateway-cf6ae2d624.jpg,,,How to access supports through Carer Gateway service providers,image/jpeg,cf6ae2d624155877313651e7b053194e07078161c2b24a476abc213f3c0a5b88,11,2026-08-31
image:ee7bfc6920452bdf,support_services,02_australian_support_services,healthdirect:caring-for-others,Caring for others | healthdirect,Healthdirect Australia,https://www.healthdirect.gov.au/caring-for-others,https://media.healthdirect.org.au/images/theme_promo/w760h217/support-for-carers-of-people-with-dementia-543665.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Healthdirect Australia\Caring for others healthdirect-ee7bfc6920.jpg,images/assets/02_australian_support_services/Healthdirect Australia/Caring for others healthdirect-ee7bfc6920.jpg,/mnd-data/images/assets/02_australian_support_services/Healthdirect Australia/Caring for others healthdirect-ee7bfc6920.jpg,,,about Respite care.,image/jpeg,ee7bfc6920452bdfc3a21aa25aca34763c9911a397acd211a3f5806e97c2de5a,11,2026-08-31
image:da0401a24c1174c0,support_services,02_australian_support_services,mnd-australia:mnd-connect-support-for-carers-family-friends-children-young-adults,Children and young adults,MND Australia,https://www.mndaustralia.org.au/mnd-connect/support-for-carers-family-friends/children-young-adults,https://www.mndaustralia.org.au/getattachment/bdb0b043-2a9e-4a14-bf00-420055133d89/Luki-theLights_image-web.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND Australia\Luki-theLights_image-web.png-da0401a24c.png,images/assets/02_australian_support_services/MND Australia/Luki-theLights_image-web.png-da0401a24c.png,/mnd-data/images/assets/02_australian_support_services/MND Australia/Luki-theLights_image-web.png-da0401a24c.png,Luki-theLights_image-web.png,,An animation to support the discussion,image/png,da0401a24c1174c02d5e29e57cdfca5a0b681afe9c8d5ebccd6d7abaa2f5d4d1,11,2026-08-31
image:b8143dc91aa35075,support_services,02_australian_support_services,mnd-western-australia:page-64-get-support,MNDAWA - Get support,MND Western Australia,https://www.mndawa.asn.au/page/64/get-support,https://mndwamndwa.blob.core.windows.net/assets/contentpage_htmlcontent/Equipment.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND Western Australia\MNDAWA - Get support-b8143dc91a.jpg,images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Get support-b8143dc91a.jpg,/mnd-data/images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Get support-b8143dc91a.jpg,,,Read more,image/jpg,b8143dc91aa350752f1a939da0c497e80ded4fcd87dcd14c7941caa78081d74c,11,2026-08-31
image:f7d45130f03a37b8,support_services,02_australian_support_services,mnd-western-australia:page-83-supports-for-providing-personal-and-general-domestic-care,MNDAWA - Supports for Providing Personal and General Domestic Care,MND Western Australia,https://www.mndawa.asn.au/page/83/supports-for-providing-personal-and-general-domestic-care,https://mndwamndwa.blob.core.windows.net/assets/contentpage_htmlcontent/domestic-care-wide.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND Western Australia\MNDAWA - Supports for Providing Personal and General Domestic Care-f7d45130f0.jpg,images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Supports for Providing Personal and General Domestic Care-f7d45130f0.jpg,/mnd-data/images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Supports for Providing Personal and General Domestic Care-f7d45130f0.jpg,,,Providing information on how to apply for funding for home help services.,image/jpg,f7d45130f03a37b8bc41fbd19ab68d6e841ffeca4a2027b5890ec1985bae8291,11,2026-08-31
image:ea29246c35afc416,support_services,02_australian_support_services,mnd-nsw:what-we-do-education-html,Education,MND NSW,https://www.mndnsw.org.au/what-we-do/education.html,https://www.mndnsw.org.au/media/yootheme/cache/fb/educationnewlydiagnosed-fb775cee.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Education-ea29246c35.webp,images/assets/02_australian_support_services/MND NSW/Education-ea29246c35.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Education-ea29246c35.webp,,,"We offer education and information sessions about MND for people living with MND, their carers and the MND workforce.",image/webp,ea29246c35afc416320195afa2ecfb4f3998bcbfa64a153a805c86b0fc687186,10,2026-08-31
